FID,ASSETID,INST_YR,MATERIAL,WIDTH,OWNERSHIP,CLASS1,CLASS2,NAME1,NAME2,GlobalID,LIFESTATUS,Shape_len,Shape__Length
316,TR315,2002,Gravel,1.5,Public,Recreational,Recreational,,,{7064EEB4-3376-4D5C-BDC8-49111121EB72},Active,,192.040624738011
317,TR314,2002,Gravel,1.5,Public,Recreational,Recreational,,,{6E54C865-4ED4-4F18-9469-A8F43389B5B9},Active,,305.818455805454
318,TR155,2002,Gravel,1.5,Public,Recreational,Recreational,,,{1A5793AD-E3DF-41C3-BAE4-0E178F36A466},Active,,231.624617200237
319,TR185,2002,Gravel,1.5,Public,Recreational,Recreational,,,{E566DC7B-27AF-4978-937B-99F33D0C76FF},Active,,875.463958582033
320,TR084,2002,Gravel,1.5,Public,Recreational,Shortcut,,,{3E0F643A-A475-4024-A2E6-08734D2771F8},Active,,73.9955759592995
321,TR428,2002,Gravel,1.5,Public,Recreational,Shortcut,,,{A7B0BD6D-46A0-4009-AEDF-07848A57B9D0},Active,,81.1176065658084
322,TR192,2002,Gravel,1.5,Public,Recreational,Recreational,,,{33694D29-ACEB-47B0-A995-72F5D1E71FAA},Active,,775.162634052976
323,TR297,2002,Gravel,1.5,Public,Recreational,Recreational,,,{8966DA16-B8FD-4A11-A4ED-DD3853A26FA6},Active,,348.921147334831
324,TR293,1992,Organic,0.5,Public,Recreational,Recreational,,,{53C86D56-1555-4CA1-B7D1-6A91245AEF22},Active,,1086.259100298
325,TR292,1992,Organic,0.5,Public,Recreational,Recreational,,,{65BDC4AC-B53B-4D43-AB56-E551EAF4DF00},Active,,46.0030936874375
326,TR296,1992,Organic,0.5,Public,Recreational,Recreational,,,{05E86AFB-98E9-439D-84D8-029E879ECC39},Active,,52.9231490421614
327,TR295,1992,Organic,0.5,Public,Recreational,Recreational,,,{F0F69572-0EC8-4E27-9427-9BA3ACCAD689},Active,,186.596567380619
328,TR291,1992,Organic,0.5,Public,Recreational,Recreational,,,{DD5B5311-6E1D-4EE2-B58E-47685B09F118},Active,,173.107086836362
329,TR290,1992,Organic,0.5,Public,Recreational,Recreational,,,{72A77BDC-8194-454E-AF96-9E5D86FB335D},Active,,522.930153523031
330,TR178,2002,Gravel,1.5,Public,Recreational,Recreational,,,{66850772-D540-47E9-971B-52CAF240DF74},Active,,338.841716936437
331,TR179,2002,Gravel,1.5,Public,Recreational,Recreational,,,{F54B136C-DBF7-4B5A-A0A2-A3F8DF703452},Active,,428.105221300244
332,TR096,2002,Gravel,1.5,Public,Recreational,Shortcut,,,{E7892830-55A4-418C-A9C9-5A8F2B4D9B9A},Active,,37.132190748562
333,TR193,2002,Gravel,1.5,Public,Recreational,Recreational,,,{2BD0E4D4-35B7-42DA-BDC8-975C8EF4450A},Active,,265.019905525316
334,TR180,2002,Gravel,1.5,Public,Recreational,Recreational,,,{67E0F1BC-DE3C-47F0-B443-C4F3F443BE66},Active,,52.2176646111475
335,TR427,2002,Gravel,1.5,Public,Recreational,Recreational,,,{A01F35AF-21CF-489D-8DC8-B0970BD92444},Active,,43.7455406881522
336,TR318,2002,Gravel,1.5,Public,Recreational,Recreational,,,{CE13B885-046D-43E9-AF5D-05287EA8FE98},Active,,28.3460438889398
337,TR175,2002,Gravel,1.5,Public,Recreational,Recreational,Trans Canada Trail,,{85F81443-1984-4265-A02D-74231688A81B},Active,,258.897238326884
338,TR112,2002,Gravel,1.5,Public,Recreational,Shortcut,,,{C90DF307-3FB0-4CA2-907C-12337EAAFFD7},Active,,50.1844537020514
