X,Y,FID,UnitNumber,AddressNum,StreetName,FullCivicA
-12838759.8452,6636988.3567,2197,2,242,BENCHLANDS TERRACE,2-242 BENCHLANDS TERRACE
-12839751.9492,6636055.4832,2198,125,187,KANANASKIS WAY,125-187 KANANASKIS WAY
-12841169.7832,6635881.0805,2199,,509,1ST STREET,509 1ST STREET
-12843237.7751,6638807.6692,2200,,1,WOODSIDE LANE,1 WOODSIDE LANE
-12841758.42,6634135.1141,2201,,6,WALKER,6 WALKER
-12840411.8886,6636055.1062,2202,,8,Policeman's Creek Mews,8 Policeman's Creek Mews
-12840107.8348,6636639.376,2203,103,104,KANANASKIS WAY,103-104 KANANASKIS WAY
-12841116.9154,6637075.2836,2204,401,743,RAILWAY AVENUE,401-743 RAILWAY AVENUE
-12837401.1982,6630476.3407,2205,212,107,ARMSTRONG PLACE,212-107 ARMSTRONG PLACE
-12843249.0984,6636563.5283,2206,,291,THREE SISTERS DRIVE,291 THREE SISTERS DRIVE
-12841957.2333,6634455.2784,2207,,105,CAREY,105 CAREY
-12837649.6932,6631488.1656,2208,,151,KRIZAN BAY,151 KRIZAN BAY
